name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
alpenglow,alaska,1400,3900,2500,4,25,4545,1,1,0,250,,320,20,50,30,,0,0,
alyeska,alaska,2500,3939,250,9,68,10560,1,1,1,720,37,1000,11,52,37,,50,0,
eaglecrest,alaska,1400,2600,1200,4,31,10560,1,1,0,300,6,640,20,40,40,,8,1,
hilltop,alaska,294,894,600,2,10,2090,1,0,1,100,100,30,80,10,10,,75,0,
moose-mountain,alaska,1300,1987,660,,35,,1,0,0,80,,,15,65,,20,100,0,
mt-eyak,alaska,800,1200,400,1,30,750,1,0,0,350,,,20,60,20,,0,0,
alpine-meadows,california,1802,8637,6835,14,100,13200,1,1,1,495,7,2000,25,40,35,,0,0,
badger-pass,california,800,8000,7200,5,10,1600,1,1,0,300,,90,35,50,15,,135,1,
bear-valley,california,1900,8500,6600,11,67,15840,1,1,0,450,35,1280,30,40,25,5,65,0,
big-bear,california,1200,8200,7000,23,50,6600,1,1,1,75,100,430,10,25,40,25,0,0,
boreal-mountain,california,500,7700,7200,9,41,5280,1,1,1,400,80,380,30,55,15,,0,0,
dodge-ridge,california,1600,8200,6600,11,60,10560,1,1,1,400,,815,20,40,40,,0,0,
donner-ski-ranch,california,750,7781,7031,6,50,5280,1,1,1,240,15,400,25,50,25,,0,0,
granlibakken,california,300,6610,6310,2,1,,1,0,0,200,,10,50,50,,,3,0,
heavenly,california,3500,10040,6540,29,84,29040,1,1,1,360,69,4800,20,45,35,,4,1,
homewood,california,1650,7880,6230,8,59,10560,1,1,1,350,10,1260,15,50,35,,0,0,
june-mountain,california,2590,10135,7545,7,35,13200,1,1,1,250,20,500,35,45,20,,0,0,
kirkwood,california,2000,9800,7800,12,65,13200,1,1,0,500,2,2300,15,50,20,15,80,0,
mammoth-mountain,california,3100,11053,7953,27,150,15840,1,1,1,384,33,3500,25,40,20,15,20,0,
montecito-sequoia,california,112,8400,7500,1,12,1000,1,0,0,240,,,20,70,10,,50,1,
mountain-high,california,1600,8200,6600,13,46,8448,1,1,1,200,95,220,25,35,40,,0,0,
mt-baldy,california,2100,8600,6500,4,26,2100,1,1,1,150,20,800,20,40,20,20,0,0,
mt-shasta,california,1400,6900,5500,4,31,6600,1,1,1,250,65,425,20,55,25,,30,0,
northstar,california,2280,8610,6330,15,70,7845,1,1,1,350,50,2420,25,50,25,,50,1,
shirley-meadows,california,400,7100,6700,2,8,3300,1,0,0,80,,80,30,40,30,,0,0,
sierra-at-tahoe,california,2212,8852,6640,12,46,13200,1,1,0,480,4,2000,25,50,25,,0,1,
sierra-summit,california,1679,8709,7030,8,35,13200,1,1,1,300,10,1200,11,28,33,28,100,1,
ski-sunrise,california,816,7516,6700,4,24,5200,1,1,0,130,20,100,15,55,30,,0,0,
snow-valley,california,1041,7841,6800,11,30,6600,1,1,1,135,85,240,30,35,35,,0,1,
soda-springs,california,652,7352,6700,2,16,5280,1,1,0,400,,200,30,50,20,,0,1,
squaw-valley-usa,california,2850,9050,6200,33,177,16896,1,1,1,450,10,4000,25,45,30,,18,1,
sugar-bowl,california,1500,8383,6883,12,84,15840,1,1,1,500,27,1500,17,43,30,10,328,0,
