Name,Type,State,Lat,Long,latitude,longitude
Mt. Waterman,Cross-Country,CALIFORNIA,34.34613,-117.93367,34.34613,-117.93367
Als Run,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
High Noon,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
Psycho Path,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
Snakedance,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
Totemoff,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
Whitefeather,Cross-Country,NEW MEXICO,36.59449,-105.45278,36.59449,-105.45278
Norway Mt.,Cross-Country,MICHIGAN,45.78694,-87.90361,45.78694,-87.90361
Montana Snow Bowl,Cross-Country,MONTANA,47.02361,-113.99639,47.02361,-113.99639
Big Mt.,Cross-Country,MONTANA,48.485,-114.35278,48.485,-114.35278
Cloudmont-Mentone Ski Area,Both,ALABAMA,34.54,-85.60333,34.54,-85.60333
Cococino XC Ski Trail,Alpine,ARIZONA,35.36667,-111.96611,35.36667,-111.96611
Snowbowl Ski Area,Both,ARIZONA,35.32782,-111.69517,35.32782,-111.69517
Sunrise Peak Ski Area,Both,ARIZONA,33.97341,-109.56344,33.97341,-109.56344
Williams Ski Area,Both,ARIZONA,35.2106,-112.19241,35.2106,-112.19241
Alpine Meadows Ski Area,Both,CALIFORNIA,39.1574,-120.23907,39.1574,-120.23907
Badger Pass Ski Area,Both,CALIFORNIA,37.66243,-119.6643,37.66243,-119.6643
Bear River Resort Ski Area,Both,CALIFORNIA,38.56102,-120.26461,38.56102,-120.26461
Bear Valley Ski Area,Both,CALIFORNIA,38.49213,-120.0446,38.49213,-120.0446
Big Meadows Nordic Ski Trail,Alpine,CALIFORNIA,36.69889,-118.84861,36.69889,-118.84861
Blue Ridge Ski Lift,Both,CALIFORNIA,34.36917,-117.69194,34.36917,-117.69194
Boreal Ridge Ski Area,Both,CALIFORNIA,39.33157,-120.35101,39.33157,-120.35101
Camp Richardson Cross Country Ski Ar,Alpine,CALIFORNIA,38.92908,-120.0385,38.92908,-120.0385
Cedar Pass Ski Area,Both,CALIFORNIA,41.55598,-120.26104,41.55598,-120.26104
Chinese Peak Ski Area,Both,CALIFORNIA,37.22716,-119.15651,37.22716,-119.15651
Cidar Pass Ski Course,Both,CALIFORNIA,41.555,-120.26361,41.555,-120.26361
Coppervale Ski Tow,Both,CALIFORNIA,40.34528,-120.90278,40.34528,-120.90278
Deer Park Ski Area,Both,CALIFORNIA,39.18657,-120.19907,39.18657,-120.19907
Dodge Ridge Ski Area,Both,CALIFORNIA,38.18631,-119.95016,38.18631,-119.95016
Donner Summit Ski Area,Both,CALIFORNIA,39.32351,-120.3299,39.32351,-120.3299
Eagles Peak Ski Area,Both,CALIFORNIA,39.9735,-120.12046,39.9735,-120.12046
Gold Mine Ski Area,Both,CALIFORNIA,34.22642,-116.86447,34.22642,-116.86447
Granlibakken Ski Area,Both,CALIFORNIA,39.1549,-120.15628,39.1549,-120.15628
Green Valley Ski Area,Both,CALIFORNIA,34.23611,-117.07222,34.23611,-117.07222
Holiday Hill Ski Lift,Alpine,CALIFORNIA,34.36472,-117.67833,34.36472,-117.67833
Homewood Ski Area,Both,CALIFORNIA,39.0799,-120.16739,39.0799,-120.16739
June Mountain Ski Area,Both,CALIFORNIA,37.75133,-119.07263,37.75133,-119.07263
Kirkwood Ski Area,Both,CALIFORNIA,38.67824,-120.04294,38.67824,-120.04294
Kratka Ridge Ski Area,Both,CALIFORNIA,34.35113,-117.89811,34.35113,-117.89811
Mount High East Ski Area,Both,CALIFORNIA,34.36919,-117.67977,34.36919,-117.67977
Mount High East Ski Area,Alpine,CALIFORNIA,34.36696,-117.43059,34.36696,-117.43059
Mount High West Ski Area,Both,CALIFORNIA,34.37169,-117.69199,34.37169,-117.69199
Mount High West Ski Area,Alpine,CALIFORNIA,34.35474,-117.7406,34.35474,-117.7406
Mount Reba Ski Area,Both,CALIFORNIA,38.49547,-120.04905,38.49547,-120.04905
Mount Shasta Ski Park Resort,Both,CALIFORNIA,41.32222,-122.20194,41.32222,-122.20194
Mount Waterman Ski Area,Alpine,CALIFORNIA,34.34613,-117.93367,34.34613,-117.93367
North Star Ski Area,Both,CALIFORNIA,39.25573,-120.12268,39.25573,-120.12268
Northstar-at-Tahoe Ski Area,Alpine,CALIFORNIA,39.27323,-120.1024,39.27323,-120.1024
Powder Bowl Ski Area,Both,CALIFORNIA,39.18157,-120.20212,39.18157,-120.20212
Shirley Meadow Ski Area,Both,CALIFORNIA,35.70915,-118.55925,35.70915,-118.55925
Sierra Ski Ranch,Both,CALIFORNIA,38.79694,-120.07806,38.79694,-120.07806
Silver Basin Ski Area,Both,CALIFORNIA,38.63241,-120.20767,38.63241,-120.20767
Ski Echo Tahoe,Both,CALIFORNIA,38.80667,-120.035,38.80667,-120.035
Ski Heil Peak,Both,CALIFORNIA,40.47278,-121.52111,40.47278,-121.52111
Snow Forest Ski Area,Alpine,CALIFORNIA,34.23444,-116.91667,34.23444,-116.91667
Snow Summit Ski Area,Both,CALIFORNIA,34.22861,-116.89028,34.22861,-116.89028
Snow Valley Ski Area,Alpine,CALIFORNIA,34.21722,-117.03472,34.21722,-117.03472
Soda Springs Ski Area,Both,CALIFORNIA,39.31907,-120.38351,39.31907,-120.38351
Squaw Valley Ski Area,Both,CALIFORNIA,39.19129,-120.25184,39.19129,-120.25184
